source,target
30121685,3740165600
3740165600,30121685
3740165600,30121700
30121700,3740165600
30121700,30121705
30121705,30121700
30121705,6822104150
6822104150,30121705
6822104150,30121706
30121706,6822104150
30121709,30121763
30121763,30121709
30121763,30121694
30121694,30121763
30121694,30121685
30121685,30121694
30121709,30121708
30121708,30121709
30121710,30121706
30121706,30121710
30121706,30121766
30121766,30121706
30121766,30121711
30121711,30121766
30121711,30121759
30121759,30121711
30121759,30121758
30121758,30121759
30121758,30121757
30121757,30121758
30121757,30121756
30121756,30121757
30121756,30121755
30121755,30121756
30121755,30121754
30121754,30121755
30121754,30121753
30121753,30121754
30121753,30121752
30121752,30121753
30121752,30121744
30121744,30121752
30121744,30121737
30121737,30121744
30121737,30121728
30121728,30121737
30121728,30121721
30121721,30121728
30121721,30121713
30121713,30121721
30121713,30121712
30121712,30121713
30121712,30121709
30121709,30121712
30695793,569928000
569928000,30695793
569928000,569928003
569928003,569928000
569928003,30121811
30121811,569928003
30121811,569928007
569928007,30121811
569928007,30695794
30695794,569928007
30695794,569928010
569928010,30695794
569928010,9045280649
9045280649,569928010
9045280649,30121809
30121809,9045280649
30121809,6370150763
6370150763,30121809
6370150763,30695795
30695795,6370150763
30695795,569928014
569928014,30695795
569928014,30121810
30121810,569928014
30121810,2468887151
2468887151,30121810
2468887151,569928017
569928017,2468887151
569928017,9045280650
9045280650,569928017
9045280650,30695792
30695792,9045280650
30695792,569928020
569928020,30695792
569928020,569928023
569928023,569928020
569928023,9045280651
9045280651,569928023
9045280651,30121812
30121812,9045280651
30121812,569928024
569928024,30121812
569928024,6370150762
6370150762,569928024
6370150762,30695793
30695793,6370150762
6822104150,30121760
30121760,6822104150
30121760,6822104151
6822104151,30121760
6822104151,30121813
30121813,6822104151
30121813,30121814
30121814,30121813
30121814,6822104153
6822104153,30121814
6822104153,6822104154
6822104154,6822104153
6822104154,6822104152
6822104152,6822104154
6822104152,6822104155
6822104155,6822104152
6822104155,30121806
30121806,6822104155
30121806,2491489626
2491489626,30121806
30215038,30142926
30142926,30215038
30142926,2437226835
2437226835,30142926
2437226835,30121809
30121809,2437226835
30121811,6370265433
6370265433,30121811
6370265433,6370265434
6370265434,6370265433
6370265434,6370265435
6370265435,6370265434
6370265435,6370265432
6370265432,6370265435
6370265432,6370265431
6370265431,6370265432
6370265431,30142927
30142927,6370265431
30142927,30215038
30215038,30142927
30498731,2376092926
2376092926,30498731
2376092926,5496786759
5496786759,2376092926
5496786759,6365139713
6365139713,5496786759
6365139713,268641710
268641710,6365139713
268641710,2875606119
2875606119,268641710
2875606119,6365139714
6365139714,2875606119
6365139714,2376092932
2376092932,6365139714
2376092932,6365139715
6365139715,2376092932
6370150763,2290108340
2290108340,6370150763
2290108340,30121808
30121808,2290108340
30121808,7401594974
7401594974,30121808
7401594974,7190488324
7190488324,7401594974
7190488324,2491489626
2491489626,7190488324
2491489626,30121807
30121807,2491489626
30121807,30142946
30142946,30121807
30142946,6595719860
6595719860,30142946
6595719860,6595719861
6595719861,6595719860
6595719861,7401578065
7401578065,6595719861
7401578065,7401578064
7401578064,7401578065
7401578064,260573454
260573454,7401578064
260573453,6372084259
6372084259,260573453
6372084259,260573194
260573194,6372084259
260573194,30142945
30142945,260573194
30142945,30142932
30142932,30142945
30142932,6511897584
6511897584,30142932
6511897584,7401594975
7401594975,6511897584
7401594975,2468887144
2468887144,7401594975
2468887144,30142925
30142925,2468887144
30142925,2437226832
2437226832,30142925
2437226832,30121810
30121810,2437226832
30142945,8527140571
8527140571,30142945
8527140571,6372084258
6372084258,8527140571
6372084258,280120821
280120821,6372084258
280120821,6372084257
6372084257,280120821
6372084257,6372084256
6372084256,6372084257
6372084256,6372084255
6372084255,6372084256
6372084255,6372084254
6372084254,6372084255
6372084254,8527140566
8527140566,6372084254
8527140566,280120815
280120815,8527140566
30142951,260573357
260573357,30142951
260573357,260573247
260573247,260573357
260573247,8321063895
8321063895,260573247
8321063895,260573434
260573434,8321063895
260573434,30142949
30142949,260573434
30142949,260573443
260573443,30142949
260573443,6370196748
6370196748,260573443
6370196748,260573248
260573248,6370196748
260573248,260573445
260573445,260573248
260573445,30142948
30142948,260573445
30142948,6595719859
6595719859,30142948
6595719859,260573453
260573453,6595719859
260573453,260573249
260573249,260573453
260573249,6595719858
6595719858,260573249
6595719858,260573454
260573454,6595719858
260573454,30142950
30142950,260573454
30142950,3740165604
3740165604,30142950
3740165604,260573463
260573463,3740165604
260573463,260573250
260573250,260573463
260573250,8321063896
8321063896,260573250
8321063896,260573517
260573517,8321063896
260573517,30142951
30142951,260573517
30214873,2473334066
2473334066,30214873
2473334066,2473334091
2473334091,2473334066
2473334091,2473334050
2473334050,2473334091
2473334050,2473334080
2473334080,2473334050
6172933715,30214997
30214997,6172933715
30214997,569927894
569927894,30214997
569927894,569927895
569927895,569927894
569927895,569927896
569927896,569927895
569927896,30214996
30214996,569927896
30214996,569927897
569927897,30214996
569927897,569927898
569927898,569927897
569927898,6172933711
6172933711,569927898
6172933711,569927899
569927899,6172933711
569927899,569927900
569927900,569927899
569927900,30215001
30215001,569927900
30215001,6172933712
6172933712,30215001
6172933712,6172933713
6172933713,6172933712
6172933713,569927901
569927901,6172933713
569927901,569927902
569927902,569927901
569927902,280122613
280122613,569927902
280122613,6172933714
6172933714,280122613
6172933714,30215000
30215000,6172933714
30215000,569927904
569927904,30215000
569927904,569927905
569927905,569927904
569927905,569927906
569927906,569927905
569927906,6172933715
6172933715,569927906
30214996,6172933729
6172933729,30214996
6172933729,6369949514
6369949514,6172933729
6369949514,6172933730
6172933730,6369949514
6172933730,30215002
30215002,6172933730
30215002,2468887143
2468887143,30215002
2468887143,2468887142
2468887142,2468887143
2468887142,30142925
30142925,2468887142
30142930,5555074004
5555074004,30142930
5555074004,6783248583
6783248583,5555074004
6783248583,3767640324
3767640324,6783248583
569927880,6369381747
6369381747,569927880
6369381747,6369381748
6369381748,6369381747
6369381748,6369381763
6369381763,6369381748
6369381763,6369381745
6369381745,6369381763
6369381745,6369381749
6369381749,6369381745
6369381749,6369381750
6369381750,6369381749
6369381750,6369381751
6369381751,6369381750
6369381751,6369381752
6369381752,6369381751
6369381752,6369381753
6369381753,6369381752
6369381753,569927879
569927879,6369381753
569927879,6369381754
6369381754,569927879
6369381754,6369381746
6369381746,6369381754
6369381746,6369381755
6369381755,6369381746
6369381755,6369381765
6369381765,6369381755
6369381765,6369381756
6369381756,6369381765
6369381756,6369381757
6369381757,6369381756
6369381757,6369381758
6369381758,6369381757
6369381758,6369381759
6369381759,6369381758
6369381759,30215008
30215008,6369381759
30215008,6369381760
6369381760,30215008
6369381760,6369381761
6369381761,6369381760
6369381761,6369381762
6369381762,6369381761
6369381762,6369381764
6369381764,6369381762
6369381764,569927880
569927880,6369381764
30215001,6369949517
6369949517,30215001
6369949517,6511884672
6511884672,6369949517
6511884672,7396665837
7396665837,6511884672
7396665837,6371532804
6371532804,7396665837
6371532804,6396673701
6396673701,6371532804
6396673701,2488917701
2488917701,6396673701
2488917701,2468887706
2468887706,2488917701
2468887706,30215008
30215008,2468887706
30142932,7433108319
7433108319,30142932
7433108319,7433108324
7433108324,7433108319
7433108324,6372537051
6372537051,7433108324
6370196748,1284303801
1284303801,6370196748
1284303801,260573065
260573065,1284303801
260573065,566546053
566546053,260573065
566546053,280120751
280120751,566546053
565304919,6580801477
6580801477,565304919
6580801477,6580801478
6580801478,6580801477
6580801478,658988599
658988599,6580801478
658988599,6580801479
6580801479,658988599
6580801479,6580801480
6580801480,6580801479
6580801480,6287525016
6287525016,6580801480
6287525016,280120799
280120799,6287525016
280120799,6580961465
6580961465,280120799
6580961465,30215016
30215016,6580961465
30215016,6580961456
6580961456,30215016
6580961456,6580961463
6580961463,6580961456
6580961463,6580961464
6580961464,6580961463
6580961464,6580961462
6580961462,6580961464
6580961462,6369752219
6369752219,6580961462
6369752219,504962196
504962196,6369752219
504962196,504962133
504962133,504962196
504962133,2888466060
2888466060,504962133
2888466060,280120823
280120823,2888466060
280120823,260573146
260573146,280120823
260573146,260573445
260573445,260573146
30215019,1284303784
1284303784,30215019
1284303784,8789487908
8789487908,1284303784
8789487908,6372331349
6372331349,8789487908
6372331349,1284303726
1284303726,6372331349
1284303726,1284303755
1284303755,1284303726
1284303755,1284303772
1284303772,1284303755
1284303772,30215020
30215020,1284303772
30215023,2437245232
2437245232,30215023
2437245232,260574141
260574141,2437245232
260574141,260574122
260574122,260574141
260574122,569928064
569928064,260574122
569928064,260574143
260574143,569928064
260574143,30215022
30215022,260574143
30215022,260574140
260574140,30215022
260574140,260574123
260574123,260574140
260574123,5570478184
5570478184,260574123
5570478184,260574107
260574107,5570478184
260574107,30215024
30215024,260574107
30215024,260574219
260574219,30215024
260574219,569928065
569928065,260574219
569928065,260574124
260574124,569928065
260574124,569928066
569928066,260574124
569928066,260574202
260574202,569928066
260574202,30215025
30215025,260574202
30215025,260574171
260574171,30215025
260574171,260574125
260574125,260574171
260574125,569928067
569928067,260574125
569928067,260574147
260574147,569928067
260574147,30215023
30215023,260574147
260574140,6370173183
6370173183,260574140
6370173183,260573620
260573620,6370173183
260573620,30215019
30215019,260573620
30215019,30215017
30215017,30215019
30215017,6370260951
6370260951,30215017
6370260951,4102502810
4102502810,6370260951
4102502810,6370173184
6370173184,4102502810
6370173184,260573173
260573173,6370173184
260573173,6370173685
6370173685,260573173
6370173685,260573434
260573434,6370173685
260573357,2473334095
2473334095,260573357
2473334095,260573165
260573165,2473334095
260573165,6370173686
6370173686,260573165
6370173686,30215027
30215027,6370173686
30215027,2473334111
2473334111,30215027
2473334111,30215028
30215028,2473334111
30215028,6370173687
6370173687,30215028
6370173687,260573582
260573582,6370173687
260573582,6370173688
6370173688,260573582
6370173688,6370173689
6370173689,6370173688
6370173689,260574107
260574107,6370173689
6367499939,30201067
30201067,6367499939
30201067,6287472222
6287472222,30201067
6287472222,5378552115
5378552115,6287472222
260574141,260574142
260574142,260574141
260574142,260574020
260574020,260574142
260574020,260574317
260574317,260574020
260574317,6370173696
6370173696,260574317
6370173696,6370173694
6370173694,6370173696
6370173694,260574497
260574497,6370173694
260574497,260574590
260574590,260574497
260574590,6370173693
6370173693,260574590
6370173693,260574499
260574499,6370173693
260574499,260574500
260574500,260574499
260574500,6166951794
6166951794,260574500
6166951794,2402563440
2402563440,6166951794
2402563440,2641016847
2641016847,2402563440
2641016847,260572591
260572591,2641016847
260574331,6370591461
6370591461,260574331
6370591461,260574332
260574332,6370591461
260574332,6370591460
6370591460,260574332
6370591460,260574326
260574326,6370591460
260574326,30215713
30215713,260574326
30215713,260574286
260574286,30215713
260551251,30215714
30215714,260551251
30215714,1403611557
1403611557,30215714
1403611557,260551485
260551485,1403611557
260551485,6364109761
6364109761,260551485
6364109761,260551486
260551486,6364109761
260551486,260551487
260551487,260551486
260551487,929222340
929222340,260551487
929222340,30215720
30215720,929222340
30215720,6364109762
6364109762,30215720
6364109762,260551710
260551710,6364109762
260551710,6364109763
6364109763,260551710
6364109763,260551711
260551711,6364109763
260551711,260574331
260574331,260551711
260574331,30215712
30215712,260574331
30215712,2472029891
2472029891,30215712
2472029891,260551741
260551741,2472029891
260551741,260551742
260551742,260551741
260551742,260574047
260574047,260551742
260574047,2437245225
2437245225,260574047
2437245225,260574148
260574148,2437245225
260574148,260574147
260574147,260574148
30498522,30498519
30498519,30498522
30498526,2469958675
2469958675,30498526
2469958675,2469958667
2469958667,2469958675
2469958667,30498527
30498527,2469958667
30498519,30498514
30498514,30498519
30498514,6372165070
6372165070,30498514
6372165070,6396170899
6396170899,6372165070
6396170899,6513049839
6513049839,6396170899
6513049839,6372165082
6372165082,6513049839
6372165082,8584796171
8584796171,6372165082
8584796171,6372165083
6372165083,8584796171
6372165083,6372165078
6372165078,6372165083
6372165078,6372165079
6372165079,6372165078
6372165079,6372165080
6372165080,6372165079
30498515,6372024911
6372024911,30498515
6372024911,6372024910
6372024910,6372024911
6372024910,6372024909
6372024909,6372024910
6372024909,6372024915
6372024915,6372024909
6372024915,6372024914
6372024914,6372024915
6372024914,6372024913
6372024913,6372024914
6372024913,6372024912
6372024912,6372024913
6372024912,5555704210
5555704210,6372024912
5555704210,30498514
30498514,5555704210
30498514,6513049842
6513049842,30498514
6513049842,6396046928
6396046928,6513049842
6396046928,6396046931
6396046931,6396046928
6396046931,6396046930
6396046930,6396046931
6396046930,6396046929
6396046929,6396046930
6396046929,6396046928
6396046928,6396046929
30498530,5555074003
5555074003,30498530
5555074003,3767640323
3767640323,5555074003
3767640323,6807517141
6807517141,3767640323
6807517141,30214997
30214997,6807517141
30498619,6372165073
6372165073,30498619
6372165073,9436234122
9436234122,6372165073
9436234122,6372165072
6372165072,9436234122
6372165072,6372165071
6372165071,6372165072
6372165071,2469958690
2469958690,6372165071
2469958690,6372165074
6372165074,2469958690
6372165074,2469958694
2469958694,6372165074
2469958694,541352243
541352243,2469958694
2540738474,30498713
30498713,2540738474
30498713,6369863113
6369863113,30498713
6369863113,6369863114
6369863114,6369863113
6369863114,429225785
429225785,6369863114
30498732,5496667760
5496667760,30498732
5496667760,1455718320
1455718320,5496667760
1455718320,282040251
282040251,1455718320
282040251,5496667761
5496667761,282040251
5496667761,268642063
268642063,5496667761
268642063,1455718289
1455718289,268642063
1455718289,30498730
30498730,1455718289
30498730,1455718287
1455718287,30498730
1455718287,268641793
268641793,1455718287
268641793,268641754
268641754,268641793
268641754,1455718286
1455718286,268641754
1455718286,30498731
30498731,1455718286
30498731,1455718298
1455718298,30498731
1455718298,1455718288
1455718288,1455718298
1455718288,268641755
268641755,1455718288
268641755,1455718311
1455718311,268641755
1455718311,1455718309
1455718309,1455718311
1455718309,268642224
268642224,1455718309
268642224,30498732
30498732,268642224
268642063,6369918328
6369918328,268642063
6369918328,268642757
268642757,6369918328
268642757,268642664
268642664,268642757
268642664,6369918329
6369918329,268642664
6369918329,30498529
30498529,6369918329
30498529,268642666
268642666,30498529
268642666,268642668
268642668,268642666
268642668,6369918330
6369918330,268642668
6369918330,30986657
30986657,6369918330
30498732,6370035811
6370035811,30498732
6370035811,282040180
282040180,6370035811
282040180,6367876757
6367876757,282040180
6367876757,6369918323
6369918323,6367876757
6369918323,5496667758
5496667758,6369918323
5496667758,290885328
290885328,5496667758
290885328,5496667757
5496667757,290885328
5496667757,30986869
30986869,5496667757
2406353641,6580808219
6580808219,2406353641
6580808219,6580808218
6580808218,6580808219
6580808218,2491489621
2491489621,6580808218
2491489621,6580808217
6580808217,2491489621
6580808217,30986597
30986597,6580808217
30986597,612932071
612932071,30986597
612932071,6580808216
6580808216,612932071
6580808216,6580808215
6580808215,6580808216
6580808215,6580808214
6580808214,6580808215
6580808214,612932075
612932075,6580808214
612932075,6580808213
6580808213,612932075
6580808213,612932078
612932078,6580808213
612932078,6353429136
6353429136,612932078
6353429136,6580808212
6580808212,6353429136
6580808212,6353429137
6353429137,6580808212
6353429137,6580808211
6580808211,6353429137
6580808211,6353429138
6353429138,6580808211
6353429138,6353429135
6353429135,6353429138
6353429135,6580808210
6580808210,6353429135
6580808210,30986598
30986598,6580808210
30986598,6287504438
6287504438,30986598
6287504438,30986883
30986883,6287504438
30986883,290885057
290885057,30986883
290885057,6353429134
6353429134,290885057
6353429134,30986599
30986599,6353429134
30986599,6353429133
6353429133,30986599
6353429133,56235056
56235056,6353429133
56235056,6353429132
6353429132,56235056
6353429132,6353429131
6353429131,6353429132
6353429131,1395073757
1395073757,6353429131
1395073757,282040201
282040201,1395073757
282040201,6353429130
6353429130,282040201
6353429130,290885181
290885181,6353429130
290885181,1395073780
1395073780,290885181
1395073780,6353497533
6353497533,1395073780
6353497533,1026792574
1026792574,6353497533
1026792574,482997530
482997530,1026792574
30986655,1455718317
1455718317,30986655
1455718317,30986662
30986662,1455718317
30986662,1455718316
1455718316,30986662
1455718316,30986661
30986661,1455718316
30986661,1455718315
1455718315,30986661
1455718315,268639388
268639388,1455718315
268639388,658988625
658988625,268639388
658988625,268638524
268638524,658988625
268638524,30986660
30986660,268638524
30986660,268638679
268638679,30986660
268638679,1455718314
1455718314,268638679
1455718314,30986659
30986659,1455718314
30986659,1455718313
1455718313,30986659
1455718313,30986658
30986658,1455718313
30986658,1455718312
1455718312,30986658
1455718312,30986657
30986657,1455718312
30986657,6369918327
6369918327,30986657
6369918327,30986656
30986656,6369918327
30986656,1455718321
1455718321,30986656
1455718321,30986655
30986655,1455718321
6367316318,566548997
566548997,6367316318
30986869,1395081593
1395081593,30986869
1395081593,30986868
30986868,1395081593
30986868,6367253488
6367253488,30986868
6367253488,6367253487
6367253487,6367253488
6367253487,6367253486
6367253486,6367253487
6367253486,6367627898
6367627898,6367253486
6367627898,566549111
566549111,6367627898
6353497532,6353497531
6353497531,6353497532
6353497531,2475749034
2475749034,6353497531
2475749034,6353497539
6353497539,2475749034
6353497539,6353496677
6353496677,6353497539
6353496677,566902276
566902276,6353496677
566902276,6353496669
6353496669,566902276
6353496669,6353497540
6353497540,6353496669
6353497540,30986879
30986879,6353497540
30986879,6353496670
6353496670,30986879
6353496670,2475749017
2475749017,6353496670
2475749017,6353496671
6353496671,2475749017
6353496671,30986880
30986880,6353496671
30986880,2475749013
2475749013,30986880
2475749013,6353496672
6353496672,2475749013
6353496672,30986881
30986881,6353496672
2475749007,6287504435
6287504435,2475749007
6287504435,6587807663
6587807663,6287504435
569928024,6369983492
6369983492,569928024
6369983492,30142929
30142929,6369983492
30142929,3068173422
3068173422,30142929
3068173422,1740754092
1740754092,3068173422
1740754092,7730384955
7730384955,1740754092
7730384955,30695796
30695796,7730384955
6369381766,6512005940
6512005940,6369381766
6512005940,2488917714
2488917714,6512005940
2488917714,6369381765
6369381765,2488917714
56230784,5555074038
5555074038,56230784
5555074038,7485245561
7485245561,5555074038
7485245561,2713511162
2713511162,7485245561
2713511162,56232859
56232859,2713511162
56232859,5555073978
5555073978,56232859
30498603,6365139719
6365139719,30498603
6365139719,4007388995
4007388995,6365139719
4007388995,6365139718
6365139718,4007388995
6365139718,6365139717
6365139717,6365139718
6365139717,2469958653
2469958653,6365139717
2469958653,6365139716
6365139716,2469958653
6365139716,6372175618
6372175618,6365139716
6372175618,30498512
30498512,6372175618
30498512,8584796160
8584796160,30498512
8584796160,2469958684
2469958684,8584796160
2469958684,2469958692
2469958692,2469958684
2469958692,8523046340
8523046340,2469958692
8523046340,30498533
30498533,8523046340
30498533,6172933737
6172933737,30498533
6172933737,8523046349
8523046349,6172933737
8523046349,6172933743
6172933743,8523046349
6172933743,30142931
30142931,6172933743
30142931,3068173414
3068173414,30142931
3068173414,2437226833
2437226833,3068173414
2437226833,30121812
30121812,2437226833
569927865,6364594788
6364594788,569927865
6364594788,6364594785
6364594785,6364594788
6364594785,6364594786
6364594786,6364594785
6364594786,6364594184
6364594184,6364594786
6364594184,6364594787
6364594787,6364594184
6364594787,569927867
569927867,6364594787
569927867,566605030
566605030,569927867
566605030,6365147512
6365147512,566605030
6365147512,30498711
30498711,6365147512
30498711,569927872
569927872,30498711
569927872,6365139715
6365139715,569927872
6365139715,30498619
30498619,6365139715
30498619,569927873
569927873,30498619
569927873,569927874
569927874,569927873
569927874,2264403816
2264403816,569927874
2264403816,569927875
569927875,2264403816
569927875,569927876
569927876,569927875
569927876,2469958644
2469958644,569927876
2469958644,30498603
30498603,2469958644
30498603,569927877
569927877,30498603
569927877,30498705
30498705,569927877
30498705,569927865
569927865,30498705
56232859,8585210077
8585210077,56232859
8585210077,6807517165
6807517165,8585210077
6807517165,6371532805
6371532805,6807517165
6371532805,6511918446
6511918446,6371532805
6511918446,8585144342
8585144342,6511918446
8585144342,8585144343
8585144343,8585144342
8585144343,2713511154
2713511154,8585144343
6587807667,56233483
56233483,6587807667
56233483,6353497525
6353497525,56233483
6353497525,56233482
56233482,6353497525
56233482,1026792604
1026792604,56233482
1026792604,56233481
56233481,1026792604
56233481,6370029721
6370029721,56233481
6370029721,2713512394
2713512394,6370029721
2713512394,2713512388
2713512388,2713512394
2713512388,2875606115
2875606115,2713512388
2875606115,5555074078
5555074078,2875606115
5555074078,5555074073
5555074073,5555074078
5555074073,2875606114
2875606114,5555074073
2875606114,6370771356
6370771356,2875606114
6370771356,1026541391
1026541391,6370771356
1026541391,6370771348
6370771348,1026541391
6370771348,6367724841
6367724841,6370771348
6367724841,8584808015
8584808015,6367724841
8584808015,6367724840
6367724840,8584808015
6367724840,291531211
291531211,6367724840
56234273,6353497510
6353497510,56234273
6353497510,56234276
56234276,6353497510
56234402,6353497512
6353497512,56234402
6353497512,6353497513
6353497513,6353497512
6353497513,6353497514
6353497514,6353497513
6353497514,56234403
56234403,6353497514
56234572,6353497517
6353497517,56234572
6353497517,56234575
56234575,6353497517
291530988,6353429163
6353429163,291530988
6353429163,6353429162
6353429162,6353429163
6353429162,6353429161
6353429161,6353429162
6353429161,6353429160
6353429160,6353429161
6353429160,6353429159
6353429159,6353429160
6353429159,480711142
480711142,6353429159
480711142,56235054
56235054,480711142
56235500,569927947
569927947,56235500
569927947,6369513609
6369513609,569927947
6369513609,569927948
569927948,6369513609
569927948,280122464
280122464,569927948
280122464,569927949
569927949,280122464
569927949,56235501
56235501,569927949
56235501,569927950
569927950,56235501
569927950,280122465
280122465,569927950
280122465,569927951
569927951,280122465
569927951,56235502
56235502,569927951
56235502,569927952
569927952,56235502
569927952,569927953
569927953,569927952
569927953,280122466
280122466,569927953
280122466,6369381766
6369381766,280122466
6369381766,569927954
569927954,6369381766
569927954,56229927
56229927,569927954
56229927,569927955
569927955,56229927
569927955,280122467
280122467,569927955
280122467,569927956
569927956,280122467
569927956,569927957
569927957,569927956
569927957,56235500
56235500,569927957
56232723,2875606102
2875606102,56232723
2875606102,2999417275
2999417275,2875606102
2999417275,2713511160
2713511160,2999417275
2713511160,56235909
56235909,2713511160
56235909,3715965269
3715965269,56235909
3715965269,56232857
56232857,3715965269
56232857,2713511154
2713511154,56232857
2713511155,6369752227
6369752227,2713511155
30986955,6580757710
6580757710,30986955
6580757710,6580757709
6580757709,6580757710
6580757709,6580757708
6580757708,6580757709
6580757708,260571073
260571073,6580757708
260571073,260571076
260571076,260571073
260572591,260572502
260572502,260572591
260572502,6363811568
6363811568,260572502
6363811568,260572597
260572597,6363811568
260572597,6370173692
6370173692,260572597
6370173692,260572642
260572642,6370173692
260572642,260572643
260572643,260572642
260572643,260572644
260572644,260572643
268639587,6369918325
6369918325,268639587
6369918325,268639706
268639706,6369918325
268639706,268639707
268639707,268639706
268639707,268639708
268639708,268639707
268639708,6369918326
6369918326,268639708
6369918326,268639709
268639709,6369918326
268641323,281957895
281957895,268641323
281957895,281957894
281957894,281957895
281957894,6367876747
6367876747,281957894
6367876747,281957893
281957893,6367876747
281957893,6367876748
6367876748,281957893
6367876748,281957892
281957892,6367876748
281957892,281957891
281957891,281957892
281957891,281957890
281957890,281957891
281957890,268639576
268639576,281957890
268639576,268639577
268639577,268639576
268639577,268639578
268639578,268639577
268639578,268639579
268639579,268639578
268639579,268639580
268639580,268639579
268639580,268639581
268639581,268639580
268639581,268639582
268639582,268639581
268639582,268639583
268639583,268639582
268639583,268639584
268639584,268639583
268639584,268639585
268639585,268639584
268639585,268639586
268639586,268639585
268639586,268639587
268639587,268639586
268639587,268639588
268639588,268639587
268639588,1455718315
1455718315,268639588
268642151,268642150
268642150,268642151
268642150,268642149
268642149,268642150
268642149,6276693419
6276693419,268642149
6276693419,268642148
268642148,6276693419
268642148,6370377954
6370377954,268642148
6370377954,281958089
281958089,6370377954
281958089,268642147
268642147,281958089
268642147,268642146
268642146,268642147
268642146,268642145
268642145,268642146
268642145,268642144
268642144,268642145
268642144,1394961690
1394961690,268642144
1394961690,268642143
268642143,1394961690
268642143,1394961538
1394961538,268642143
1394961538,268642142
268642142,1394961538
268642142,268642060
268642060,268642142
268642060,1394961561
1394961561,268642060
1394961561,268642057
268642057,1394961561
1455718313,6369918331
6369918331,1455718313
6369918331,6369918332
6369918332,6369918331
6369918332,268642177
268642177,6369918332
268642177,268642176
268642176,268642177
268642176,268642175
268642175,268642176
268642175,6369918333
6369918333,268642175
6369918333,641079418
641079418,6369918333
641079418,268642172
268642172,641079418
268642172,30498729
30498729,268642172
30498729,6369918334
6369918334,30498729
6369918334,6369918335
6369918335,6369918334
6369918335,6369918336
6369918336,6369918335
